"1";"e_dub_kendo";"1473.5";"677";"49.5";"0";"9779.5";"0";"2687";"1";"279";"0";"3192.82085561452"
"2";"ritobito";"36";"700";"17";"4208";"37211";"0";"0";"0";"0";"0";"9404.04999999636"
"3";"xatlasm";"3";"45";"262.5";"0";"0";"8";"295";"5";"366";"0";"373.829411764753"
"4";"Kanjiwarrior";"1267.9975";"674";"10";"0";"4291";"3";"2428.183333333";"0";"1127";"0";"2815.41919340492"
"5";"lordsilent";"1250";"32639";"206.98";"3572";"13783";"7";"3094";"0.57";"919";"0";"10535.5921568657"
"6";"loafyi";"5";"535";"1092.5";"0";"0";"0";"2445";"58";"0";"60";"1757.5"
"7";"BlackDragonHunt";"1645.48";"10177";"222";"7378";"145388";"11";"3490.91666669";"0";"4453";"4";"18880.3666310239"
"8";"emilyrct";"39";"3280";"0";"0";"0";"4";"327";"29";"386";"0";"873.105882352647"
"9";"mletterlejp";"0";"159";"130";"0";"0";"0";"0";"0";"0";"0";"161.8"
"10";"IvanMeredith";"1";"420";"10";"0";"90";"0";"85";"1";"220";"0";"134.12299465243"
"11";"Landorien";"584.47";"5407.9";"77";"0";"0";"10";"0";"0";"110";"0";"1759.520588235"
"12";"KSaiydT";"781.5";"3774";"322";"875";"18190";"24";"776";"44";"5698";"1080";"4229.48253119408"
"13";"qqkachoojp";"1646";"11389";"0";"18289";"66948";"0";"0";"0";"0";"0";"13058.1484848488"
"14";"Moniiku";"0";"450";"0";"0";"0";"0";"0";"0";"0";"0";"90"
"15";"momonigiri";"253.2";"434";"33";"0";"14842";"0";"1493";"107";"6361";"0";"2501.64919492024"
"16";"pbadger";"56";"402";"0";"0";"127";"0";"60";"0";"0";"0";"163.9454545455"
"17";"srunnels";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1.4"
"18";"tummai";"1576";"2994";"34";"253";"0";"3";"0";"2";"1057";"0";"2318.14313725524"
"19";"Seizar86";"3832";"25552.5";"395.5";"528";"40931";"7";"469";"268";"660";"0";"13505.8066250778"
"20";"Little_strokes";"7047";"15549";"1693.8";"437";"29977.5";"24";"2302";"57";"1331";"15";"15241.9544752949"
"21";"nac_est";"1315";"778";"333.98";"0";"90";"0";"0";"25.4";"119";"0";"1845.16181818"
"22";"fahadalassiry";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"23";"diogovk";"90";"3962.5";"0";"0";"234";"0";"0";"1";"0";"0";"904.772727273"
"24";"rtkbot";"369";"721";"101";"0";"300";"0";"0";"0";"29";"0";"643.178609626"
"25";"Yuffie89";"916";"2807";"1119";"0";"451";"0";"685";"35";"0";"0";"2809.4"
"26";"LizLearns";"79";"198";"0";"0";"255";"4";"285";"0";"124";"0";"210.075935829"
"27";"mikotoneko";"374.5";"294";"0";"0";"0";"0";"0";"0";"0";"0";"433.3"
"28";"mullr";"65";"0";"0";"0";"0";"0";"0";"0";"0";"0";"65"
"29";"languageez";"364";"832";"98.91";"0";"0";"0";"0";"0";"1250";"0";"702.839411765001"
"30";"Lorata";"44";"2764";"11";"0";"0";"0";"0";"0";"0";"0";"607.8"
"31";"curryisyummy";"917";"341";"773";"0";"1097";"0";"225";"3";"3508";"0";"2112.2802139041"
"32";"aiorral";"3622.16";"18652";"0";"0";"0";"0";"0";"0";"284";"0";"7369.26588235294"
"33";"JapanNewbie";"669";"0";"1";"0";"0";"0";"0";"31";"0";"0";"701"
"34";"EliOmans";"2210.78";"2364";"222";"25";"8284";"27";"0";"18";"255";"0";"3750.23757575637"
"35";"KonyaHurricane";"29";"224";"0";"0";"0";"0";"136";"0";"80";"0";"192.5058823529"
"36";"incorporeality";"1640.5";"755";"9";"0";"0";"0";"2014.77";"13";"78";"0";"2221.04223529"
"37";"takkie3";"1564";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1564"
"38";"tonesvenn";"999";"102";"4";"0";"0";"0";"0";"0";"857";"0";"1073.811764706"
